 ,PARTNERNR,last_name,first_name,TEL_PORTAL_MOBIL,EMAIL_PORTAL,GEB_D,GESCHLECHT,SPRACHE,STRASSE,HAUSNUMMER,PLZ,ORT,LAND,ZAHLUNGSPROFIL,ZAHLUNGSMITTEL_INKASSO ,ZAHLUNGSADRESSETYP_INKASSO,BANK_INKASSO,ZAHLUNGSMITTEL_EXKASSO,ZAHLUNGSADRESSETYP_EXKASSO,BANK_EXKASSO,GRUNDVERSICHERUNG_MODELL,PRODUKT,PRODUKT_PORTFOLIO,GESETZ,PRODUKTEPRÄMIE,GESAMTPRÄMIE,HAUSARZT,FRANCHISE
1355821,1355821,Portner,James Alasdair D,41986127077,James.Portner@mymail.com,11/16/1975,m,DE,Chrummwisstrasse,23,8700,Küsnacht ZH,CH,Standardzahler,LSV (Lastschriftverfahren),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BASIS Standard,"COMPLETA,HOSPITAL COMFORT,","Helsana BASIS Standard,COMPLETA,HOSPITAL COMFORT,","KVGO,VVG,VVG,","410.35,55.35,200.5,",666.2,  ,2500
1456709,1456709,Fino,Jeyareka,41986118888,Jeyareka.Fino@mymail.com,12/30/1961,w,DE,Moosmühle,5,8910,Affoltern am Albis,CH,Standardzahler,LSV (Lastschriftverfahren),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BASIS Standard,"HOSPITAL PLUS BONUS,SANA,TOP,","Helsana BASIS Standard,HOSPITAL PLUS BONUS,SANA,TOP,","KVGO,VVG,VVG,VVG,","353.45,209,29.8,24.55,",616.8,  ,2500
1456709,6519148,Grosclaude,Didier,41981221496,Didier.Grosclaude@mymail.com,2/15/1998,m,DE,Moosmühle,5,8910,Affoltern am Albis,CH,,,,,,,,Helsana BeneFit PLUS Hausarzt,"HOSPITAL ECO,SANA,TOP,","Helsana BeneFit PLUS Hausarzt,HOSPITAL ECO,SANA,TOP,","KVGO,VVG,VVG,VVG,","286.45,2.75,22.6,13.2,",325,V132431 Schmidt Tatiana,2500
1736353,1687344,Alvarez Gomez de la Cruz,José Miguel,,,11/29/1953,m,DE,Pfarrer Schmidlin-Weg,5,4562,Biberist,CH,,,,,,,,Helsana SALARIA KVG,"Helsana BASIS Standard,COMPLETA,COMPLETA EXTRA,CURA,HOSPITAL PLUS BONUS,PREVEA Unfall,","Helsana SALARIA KVG,Helsana BASIS Standard,COMPLETA,COMPLETA EXTRA,CURA,HOSPITAL PLUS BONUS,PREVEA Unfall,","KVGF,KVGF,KVGO,VVG,VVG,VVG,VVG,VVG,","10.15,5,547.65,79.35,26.85,37.5,255.55,20.3,",982.35,  ,300
1736353,1736353,Zysset,Nelly,,,5/12/1953,w,DE,Pfarrer Schmidlin-Weg,5,4562,Biberist,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BASIS Standard,"COMPLETA,COMPLETA EXTRA,CURA,HOSPITAL PLUS BONUS,PREVEA Unfall,","Helsana BASIS Standard,COMPLETA,COMPLETA EXTRA,CURA,HOSPITAL PLUS BONUS,PREVEA Unfall,","KVGO,VVG,VVG,VVG,VVG,VVG,","547.65,87,26.85,56.35,255.55,20.3,",993.7,  ,300
3061442,3061442,Rumberger,Nicolas,41985688475,Nicolas.Rumberger@mymail.com,2/29/1944,m,DE,Degersheimerstrasse,72,9100,Herisau,CH,Standardzahler,LSV (Lastschriftverfahren),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BASIS Standard,"CURA,HOSPITAL COMFORT BONUS,SANA,TOP,","Helsana BASIS Standard,CURA,HOSPITAL COMFORT BONUS,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,","526.65,52.3,430.25,20.2,30.15,",1059.55,  ,300
3061442,3061604,Kantarevic Nuhanovic,Arya,,,12/29/1943,w,DE,Degersheimerstrasse,72,9100,Herisau,CH,,,,,,,,Helsana BASIS Standard,"CURA,HOSPITAL COMFORT BONUS,SANA,TOP,","Helsana BASIS Standard,CURA,HOSPITAL COMFORT BONUS,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,","526.65,91.7,492.35,26.65,34.3,",1171.65,  ,300
4065662,4065662,Ursu,Dumitru Ciprian,,,9/18/1935,m,DE,Finkenweg,10,5726,Unterkulm,CH,Standardzahler,LSV (Lastschriftverfahren),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BASIS Standard,"LAV Landwirtschaftliche Aushilfenversicherung,TOP,","Helsana BASIS Standard,LAV Landwirtschaftliche Aushilfenversicherung,TOP,","KVGO,VVG,VVG,","524.65,1,35.45,",561.1,  ,300
4209435,4209435,Grabarek,Pascal,,,8/10/1938,m,DE,Route de Bussy,16,1530,Payerne,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BASIS Standard,"CURA,HOSPITAL ECO,SANA,TOP,","Helsana BASIS Standard,CURA,HOSPITAL ECO,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,","585.05,46.3,8.8,23.8,47.95,",711.9,  ,500
5599903,5599903,Piettre,Nadine,41986835023,Nadine.Piettre@mymail.com,8/7/1984,w,FR,Schulgasse,11,4057,Basel,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Telemedizin,"HOSPITAL ECO,Helsana Advocare PLUS,TOP,","Helsana BeneFit PLUS Telemedizin,HOSPITAL ECO,Helsana Advocare PLUS,TOP,","KVGO,VVG,VVG,VVG,","450.05,3.1,9.8,20.75,",483.7,  ,2500
